0,Start Logging,1495443639715,281309184,219828224,174169456
1,Starting of writing JSON to disk,1495443639715,281313280,219828224,174171120
2,End of writing JSON to disk,1495443640114,375173120,332398592,285702464
3,End Logging,1495443640115,375173120,332398592,285703664
